id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.87745E+17,Condo in Portland · 2 bedrooms · 2 beds · 1 bath,56229591,Susan,,Portland Downtown,45.5103912,-122.6782267,Entire home/apt,10,31,1,11/18/2023,0.91,1,224,1,
18412868,Treehouse in Portland · ★4.90 · 1 bedroom · 1 bed · Private half-bath,127584615,Carole,,South Tabor,45.49798,-122.58429,Private room,27,1,406,10/13/2023,5.02,1,82,36,20-112482-000-00-HO
7.81301E+17,Home in Portland · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,491342609,Victoria,,Parkrose Heights,45.53863034,-122.5410461,Private room,28,1,14,12/18/2023,1.16,1,61,14,City registration pending
9.55458E+17,Home in Portland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,531181880,Peter,,Powellhurst-Gilbert,45.485,-122.53963,Private room,29,2,5,11/30/2023,1.29,1,178,5,City registration pending
23446571,Bungalow in Portland · ★4.89 · 5 bedrooms · 1 bed · 1 shared bath,20955447,Helen,,Powellhurst-Gilbert,45.4869,-122.54805,Private room,30,2,18,9/30/2023,0.26,1,355,2,City registration pending
4000140,Rental unit in Portland · ★4.63 · Studio · 1 bed · 1 bath,20738963,Jodi,,Sullivan's Gulch,45.53404,-122.64477,Entire home/apt,31,2,516,12/1/2023,4.57,1,202,58,City registration pending
9.94293E+17,Guest suite in Portland · 1 bedroom · 1 bed · 1 bath,196930510,Mindy,,Roseway,45.54992,-122.59608,Entire home/apt,32,30,1,11/25/2023,1,1,201,1,City registration pending
7.33337E+17,Home in Portland · 1 bedroom · 1 bed · 1 shared bath,141929,Concierge Haus,,Kenton,45.57735,-122.69217,Private room,32,31,0,,,1,235,0,City registration pending
7.34811E+17,Home in Portland · 1 bedroom · 1 bed · 1 shared bath,191415381,Carla,,Arbor Lodge,45.57622,-122.69417,Private room,32,31,1,9/21/2023,0.33,1,289,1,City registration pending
8.25419E+17,Home in Portland · ★4.94 · 1 bedroom · 1 bed · 1 private bath,220092585,Emilio,,Parkrose,45.55782788,-122.562736,Private room,35,1,17,11/7/2023,1.69,1,256,17,City registration pending
7.04428E+17,Home in Portland · 1 bedroom · 1 bed · 1 shared bath,27280152,Donny,,Mt. Scott-Arleta,45.47703,-122.58709,Private room,35,1,2,12/15/2023,0.15,1,363,1,City registration pending
1018584,Bungalow in Portland · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,296928,Tree Marie,,Vernon,45.56452,-122.64955,Private room,35,30,124,11/11/2019,1.16,1,33,0,
21380067,Tiny home in Portland · ★4.65 · 1 bedroom · 1 bed · 1 bath,154845228,Tobin,,King,45.55943,-122.6619,Entire home/apt,35,30,62,9/9/2023,0.83,1,240,1,
6.18752E+17,Guest suite in Portland · ★4.70 · 1 bedroom · 1 bed · 1 bath,390757744,Jessica,,King,45.554653,-122.654266,Entire home/apt,35,1,97,11/19/2023,5.16,1,0,57,23-002478-000-00-HO
9.77816E+17,Home in Portland · 1 bedroom · 1 bed · 1 bath,12012940,Kate,,Sumner,45.55533374,-122.5751591,Private room,35,30,1,12/11/2023,1,1,151,1,
9.41591E+17,Rental unit in Portland · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,298021791,Kalynn,,Wilkes,45.55117683,-122.5054693,Private room,35,1,7,12/2/2023,2.02,1,255,7,City registration pending
9.61806E+17,Camper/RV in Portland · 2 beds · 1 bath,657231,Laura,,Pleasant Valley,45.47176421,-122.5332282,Entire home/apt,36,30,0,,,1,56,0,City registration pending
52923271,Home in Portland · ★4.80 · 1 bedroom · 1 bed · 1 private bath,426716618,Charmaine,,Centennial,45.50795,-122.49489,Private room,36,31,5,11/30/2022,0.21,1,77,0,
53784786,Home in Portland · 1 bedroom · 1 bed · 1 shared bath,14048945,Rachel,,Hazelwood,45.52902248,-122.5578806,Private room,37,30,0,,,1,62,0,
8.82551E+17,Home in Portland · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,230664404,Peter,,Powellhurst-Gilbert,45.48677,-122.53756,Private room,38,2,12,11/14/2023,1.7,1,169,12,City registration pending
35682143,Home in Portland · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,76418105,Estelle,,Bridlemile,45.49114,-122.72302,Private room,38,1,62,10/18/2023,1.13,1,297,5,City registration pending
7.28589E+17,Home in Portland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,51102839,Colton,,Argay,45.5497677,-122.5213847,Private room,38,1,22,12/15/2023,5.79,1,167,22,23-109653-000-00-HO
6346680,Home in Portland · ★4.84 · 1 bedroom · 1 bed · 1 bath,33056989,Franz And Teresa,,Argay,45.5482,-122.52523,Private room,39,3,32,5/1/2023,0.31,1,346,1,City registration pending
10366008,Home in Portland · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,42719900,Matt,,Madison South,45.54657,-122.57281,Private room,39,1,128,9/21/2023,1.34,1,365,9,16-245725-000-00-HO
22733624,Condo in Portland · ★4.61 · Studio · 1 bed · 1 bath,9111756,Clarissa,,Goose Hollow,45.52079,-122.68941,Entire home/apt,39,30,18,8/13/2023,0.28,1,365,2,
3562307,Condo in Portland · ★4.82 · 2 bedrooms · 1 shared bath,17615383,Patrick,,Northwest District,45.53297043,-122.7051773,Private room,39,30,276,6/21/2023,2.4,1,365,1,
35486590,Home in Portland · ★4.95 · 1 bedroom · 1 bed · 2 shared baths,16213970,Susannah,,Montavilla,45.52873,-122.58766,Private room,39,1,111,12/14/2023,2.17,1,160,37,City registration pending
10546918,Home in Portland · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,54390576,Dresden,,Sunnyside,45.51325,-122.62122,Private room,40,2,39,12/5/2023,3.08,1,0,38,City registration pending
51066757,Bed and breakfast in Portland · ★New · 1 bedroom · 1 bed · 1 shared bath,202706136,Shannan,,Sellwood-Moreland Improvement League,45.4802843,-122.6483003,Private room,40,30,0,,,1,244,0,City registration pending
7.6779E+17,Home in Portland · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,361663214,Jerry,,Irvington,45.5428134,-122.6568239,Private room,40,1,7,12/9/2023,0.92,1,47,7,23-028007-000-00-HO
4572931,Home in Portland · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,21691680,Lori,,Cathedral Park,45.58494,-122.74654,Private room,40,2,153,11/24/2023,1.38,1,79,29,15-218864-000-00-HO
9.84274E+17,Home in Portland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,36400059,Cody,,Rose City Park,45.53846273,-122.6112401,Private room,40,1,16,12/19/2023,6.86,1,59,16,23-087629-000-00-HO
687927,Bungalow in Portland · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,3425231,Kit,,Sunnyside,45.51365,-122.62041,Private room,40,7,175,10/31/2023,1.28,1,269,6,14-255222-000-00-HO
21742124,Home in Portland · ★4.92 · 2 bedrooms · 1 bed · 1 shared bath,148139307,Lucia,,Parkrose Heights,45.53516,-122.53952,Private room,40,30,12,7/14/2019,0.16,1,365,0,
1123780,Guest suite in Portland · ★4.76 · 1 bedroom · 1 bed · 1 bath,2946939,Jennifer,,Concordia,45.56028,-122.62061,Entire home/apt,41,1,436,12/17/2023,3.39,1,145,93,18-191039-000-00-HO
6.77434E+17,Home in Portland · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,14898122,Luz,,Portsmouth,45.59239,-122.7185,Private room,42,3,14,11/1/2022,0.82,1,343,0,City registration pending
